bed,bath,square,city,price,year_built,home_type
2.0,1.0,946,Hoboken,2100.0,,
2.0,1.0,1016,Hoboken,2700.0,1,APARTMENT
1.0,1,1095,None,2443.0,,
3.0,1,1095,None,3600.0,,
1.0,1,1095,None,1700.0,,
2.0,1,1095,None,2700.0,,
3.0,1.0,680,Hoboken,2900.0,1900,APARTMENT
2.0,1.0,687,Hoboken,2800.0,1,APARTMENT
2.0,1.0,907,Hoboken,2850.0,1,APARTMENT
2.0,1.0,700.0,Hoboken,2600.0,,
1.0,1.0,500.0,Hoboken,1750.0,1901,APARTMENT
1.0,1.0,717,Hoboken,3000.0,1,APARTMENT
1.0,1.0,900.0,Hoboken,1800.0,1901,APARTMENT
2.0,2.0,1066,Hoboken,3350.0,1,APARTMENT
3.0,2.0,852,Hoboken,5800.0,1,APARTMENT
2.0,2.0,1052.0,Hoboken,3200.0,,
1.0,1.0,550.0,HOBOKEN,1600.0,1901,APARTMENT
1.0,1.0,966,Hoboken,1650.0,1,APARTMENT
2.0,1.0,660.0,Hoboken,1800.0,1,APARTMENT
2.0,1.0,600.0,HOBOKEN,1800.0,,
3.0,1.0,750.0,Hoboken,2900.0,1,APARTMENT
2.0,1.0,910.0,Hoboken,2700.0,1,APARTMENT
2.0,1.0,948,Hoboken,1950.0,1,APARTMENT
1.0,1.0,750.0,Hoboken,2100.0,1889,APARTMENT
1.0,1.0,550.0,Hoboken,1950.0,1901,APARTMENT
4.0,3.5,2800.0,HOBOKEN,7495.0,1901,TOWNHOUSE
1.0,1.0,500.0,Hoboken,2050.0,1,CONDO
1.0,1.0,475.0,HOBOKEN,2250.0,1901,APARTMENT
1.0,1.0,991,Hoboken,1750.0,1901,APARTMENT
1.0,1.0,650.0,Hoboken,1600.0,,
1.0,1.0,700.0,Hoboken,3300.0,,
2.0,2.0,1100.0,Hoboken,2800.0,1,APARTMENT
1.0,1.0,600.0,Hoboken,1645.0,1,APARTMENT
2.0,2.0,1298.0,Hoboken,3700.0,1,APARTMENT
2.0,2.0,1000.0,Hoboken,3500.0,,
1.0,1.0,600.0,Hoboken,2350.0,1,APARTMENT
3.0,2.0,1500.0,Hoboken,4700.0,1,APARTMENT
2.0,2.0,1064.0,HOBOKEN,3000.0,2013,APARTMENT
2.0,2.0,1155.0,Hoboken,4000.0,2000,CONDO
1.0,1.0,600.0,Hoboken,2050.0,1,CONDO
1.0,1.0,660.0,HOBOKEN,2400.0,1905,CONDO
1.0,1.0,700.0,Hoboken,1879.0,1,APARTMENT
1.0,1.0,973,Hoboken,1800.0,,
1.0,1.0,800.0,Hoboken,2900.0,1,APARTMENT
2.0,2.0,1120.0,HOBOKEN,3400.0,1985,APARTMENT
2.0,2.0,1100.0,Hoboken,3499.0,1,APARTMENT
2.0,2.0,838,Hoboken,4000.0,1,APARTMENT
3.0,1.0,1123.0,HOBOKEN,3300.0,1,APARTMENT
3.0,1.0,1400.0,Hoboken,2900.0,1,APARTMENT
2.0,1.0,803.0,HOBOKEN,2150.0,1901,APARTMENT
2.0,1.0,1500.0,Hoboken,2800.0,,
1.0,1.0,576.0,Hoboken,2550.0,1901,APARTMENT
1.0,1.0,753.0,Hoboken,2400.0,,
2.0,1.0,1065,Hoboken,2100.0,1,APARTMENT
1.0,1.0,600.0,Hoboken,1790.0,,
1.0,1.0,550.0,Hoboken,2150.0,1,APARTMENT
1.0,1.0,600.0,Hoboken,2150.0,1,APARTMENT
2.0,1,1095,None,2300.0,,
1.0,1.0,600.0,HOBOKEN,2100.0,1901,APARTMENT
1.0,1.0,700.0,Hoboken,1950.0,,
2.0,1.0,900.0,Hoboken,2600.0,,
3.0,1.0,1000.0,Hoboken,3200.0,,
2.0,1.0,637,Hoboken,2950.0,,
2.0,1.0,698.0,Hoboken,2790.0,,
1.0,1.0,554.0,HOBOKEN,2200.0,1987,APARTMENT
1.0,1.0,700,Hoboken,2150.0,2000,APARTMENT
1.0,1.0,641,Hoboken,2150.0,,
1.0,1.0,700.0,Hoboken,2000.0,,
1.0,1.0,718,Hoboken,2300.0,1,MULTI_FAMILY
1.0,1.0,885.0,HOBOKEN,2700.0,,
3.0,1.0,850.0,Hoboken,2150.0,1,APARTMENT
2.0,2.0,950.0,Hoboken,2875.0,,
2.0,2.0,1120.0,HOBOKEN,3600.0,1,CONDO
2.0,1.0,600.0,Hoboken,2790.0,1,APARTMENT
3.0,2.0,963,Hoboken,4700.0,,
1.0,1.0,654.0,HOBOKEN,2200.0,1910,APARTMENT
2.0,2.0,1150.0,Hoboken,3400.0,1,APARTMENT
3.0,3.0,1750.0,Hoboken,3950.0,1,APARTMENT
3.0,2.0,918,Hoboken,4700.0,1,APARTMENT
1.0,1.0,1006,Hoboken,2200.0,1,APARTMENT
2.0,2.0,772,Hoboken,2900.0,1,APARTMENT
2.0,1.0,815.0,HOBOKEN,2700.0,1901,MULTI_FAMILY
3.0,2.0,1450.0,Hoboken,4300.0,1,APARTMENT
1.0,1.0,700.0,Hoboken,2650.0,2002,APARTMENT
2.0,1.0,930.0,Hoboken,3400.0,2004,MULTI_FAMILY
1.0,1.0,540.0,Hoboken,2150.0,1,APARTMENT
1.0,1.0,600.0,HOBOKEN,1999.0,,
2.0,2.0,973.0,HOBOKEN,2800.0,2003,MULTI_FAMILY
1.0,1.0,686,Hoboken,2200.0,1,APARTMENT
2.0,2.0,1050.0,HOBOKEN,3450.0,2005,APARTMENT
2.0,1.0,931,Hoboken,2850.0,1,APARTMENT
2.0,1.0,1023,Hoboken,2850.0,,
1.0,1.0,955,Hoboken,2000.0,1,APARTMENT
1.0,1.0,908,Hoboken,1950.0,1,APARTMENT
2.0,2.0,1389.0,Hoboken,3800.0,1,APARTMENT
1.0,1.0,800.0,Hoboken,2300.0,1,APARTMENT
1.0,1.0,750.0,Hoboken,2000.0,1,APARTMENT
2.0,1.0,826,Hoboken,2400.0,1,MULTI_FAMILY
2.0,1.0,815.0,HOBOKEN,2600.0,1901,APARTMENT
3.0,2.0,1800.0,Hoboken,4800.0,1,APARTMENT
1.0,1.0,512.0,HOBOKEN,1750.0,1910,APARTMENT
1.0,1.0,550.0,Hoboken,1950.0,1,APARTMENT
2.0,1.0,1003,Hoboken,2450.0,1,APARTMENT
4.0,2.0,649,Hoboken,4950.0,1,APARTMENT
2.0,1.5,835.0,Hoboken,2995.0,1,APARTMENT
3.0,2.0,923,Hoboken,4600.0,1,APARTMENT
1.0,1.0,972.0,HOBOKEN,2950.0,,
2.0,2.0,1400.0,Hoboken,3400.0,1985,CONDO
3.0,2.0,763,Hoboken,4700.0,1,APARTMENT
1.0,1.0,603.0,Hoboken,2050.0,1901,CONDO
1.0,1,1095,None,3095.0,,
3.0,1,1095,None,4950.0,,
4.0,2.0,1350.0,Hoboken,3300.0,1,APARTMENT
2.0,1.0,850.0,Hoboken,2000.0,1,APARTMENT
3.0,2.0,902,Hoboken,4600.0,1,APARTMENT
2.0,1.0,550.0,Hoboken,2195.0,,
2.0,1.0,1100.0,Hoboken,2250.0,1,APARTMENT
2.0,1.0,750.0,Hoboken,2300.0,1900,APARTMENT
2.0,1.0,1000.0,Hoboken,2750.0,1,APARTMENT
2.0,2.0,1100.0,Hoboken,3000.0,2007,APARTMENT
2.0,1.0,800.0,Hoboken,2500.0,1,APARTMENT
1.0,1.0,900.0,Hoboken,2400.0,1889,APARTMENT
2.0,1.0,616,Hoboken,2150.0,1,APARTMENT
4.0,1.5,1200.0,Hoboken,3550.0,1,APARTMENT
3.0,2.0,1093,Hoboken,4400.0,1,APARTMENT
1.0,1.0,946,Hoboken,1900.0,1,APARTMENT
2.0,1.0,900.0,Hoboken,2200.0,1901,MULTI_FAMILY
2.0,1.0,800.0,Hoboken,1900.0,1,APARTMENT
1.0,1.0,900.0,Hoboken,2800.0,2013,APARTMENT
1.0,1.0,760.0,Hoboken,2650.0,,
1.0,1.0,869.0,HOBOKEN,2600.0,1900,APARTMENT
1.0,1.0,625.0,HOBOKEN,2300.0,1920,APARTMENT
1.0,1.0,546.0,HOBOKEN,2100.0,1910,APARTMENT
1.0,1.0,700.0,Hoboken,2250.0,2012,APARTMENT
2.0,1.0,700.0,Hoboken,2775.0,1,APARTMENT
1.0,1.0,1074,Hoboken,1900.0,,
3.0,3.0,2341.0,HOBOKEN,6700.0,2006,CONDO
2.0,1.0,700.0,Hoboken,2350.0,,
