zpid, address, city, state, postal_code, price, info, location, property_url, title, lat, lng
2113894672,85 Jefferson St,Hoboken,NJ,07030,$2350/mo,2 bds  1 ba  700 sqft,85 Jefferson St Hoboken NJ,https://www.zillow.com/homedetails/85-Jefferson-St-Hoboken-NJ-07030/2113894672_zpid/,Apartment for rent,40738090,-74038143
2086450084,1030 Adams St,Hoboken,NJ,07030,$2700/mo,2 bds  1 ba  -- sqft,1030 Adams St Hoboken NJ,https://www.zillow.com/homedetails/1030-Adams-St-Hoboken-NJ-07030/2086450084_zpid/,Apartment for rent,40750396,-74033885
2086908039,Willow Ave,Hoboken,NJ,07030,$4125/mo,2 bds  2 ba  1167 sqft,Willow Ave Hoboken NJ,https://www.zillow.com/homedetails/Willow-Ave-Hoboken-NJ-07030/2086908039_zpid/,Apartment for rent,40751720,-74030320
2091490518,Marshall St,Hoboken,NJ,07030,$2695/mo,1 bd  1 ba  870 sqft,Marshall St Hoboken NJ,https://www.zillow.com/homedetails/Marshall-St-Hoboken-NJ-07030/2091490518_zpid/,Apartment for rent,40738680,-74042170
2086908221,Willow Ave,Hoboken,NJ,07030,$5675/mo,3 bds  2 ba  1410 sqft,Willow Ave Hoboken NJ,https://www.zillow.com/homedetails/Willow-Ave-Hoboken-NJ-07030/2086908221_zpid/,Apartment for rent,40751720,-74030320
2086908102,Willow Ave,Hoboken,NJ,07030,$3400/mo,1 bd  1 ba  709 sqft,Willow Ave Hoboken NJ,https://www.zillow.com/homedetails/Willow-Ave-Hoboken-NJ-07030/2086908102_zpid/,Apartment for rent,40751720,-74030320
2086908024,Willow Ave,Hoboken,NJ,07030,$4400/mo,2 bds  2 ba  1122 sqft,Willow Ave Hoboken NJ,https://www.zillow.com/homedetails/Willow-Ave-Hoboken-NJ-07030/2086908024_zpid/,Apartment for rent,40751720,-74030320
2107393699,659 1st St APT 210,Hoboken,NJ,07030,$2675/mo,1 bd  1 ba  850 sqft,659 1st St APT 210 Hoboken NJ,https://www.zillow.com/homedetails/659-1st-St-APT-210-Hoboken-NJ-07030/2107393699_zpid/,Apartment for rent,40739198,-74041554
61897914,810 Washington St APT 1,Hoboken,NJ,07030,$4000/mo,4 bds  2 ba  1657 sqft,810 Washington St APT 1 Hoboken NJ,https://www.zillow.com/homedetails/810-Washington-St-APT-1-Hoboken-NJ-07030/61897914_zpid/,Apartment for rent,40746516,-74028515
68303368,410 Adams St APT 1L,HOBOKEN,NJ,07030,$2200/mo,1 bd  1 ba  454 sqft,410 Adams St APT 1L Hoboken NJ,https://www.zillow.com/homedetails/410-Adams-St-APT-1L-Hoboken-NJ-07030/68303368_zpid/,Apartment for rent,40742900,-74036321
2088097520,Jefferson St,Hoboken,NJ,07030,$2700/mo,2 bds  1 ba  -- sqft,Jefferson St Hoboken NJ,https://www.zillow.com/homedetails/Jefferson-St-Hoboken-NJ-07030/2088097520_zpid/,Apartment for rent,40750300,-74034720
2090494812,Washington St,Hoboken,NJ,07030,$2100/mo,3 bds  1 ba  1100 sqft,Washington St Hoboken NJ,https://www.zillow.com/homedetails/Washington-St-Hoboken-NJ-07030/2090494812_zpid/,Apartment for rent,40749700,-74026020
2086486653,418 Washington St # 1,Hoboken,NJ,07030,$2400/mo,2 bds  1 ba  -- sqft,418 Washington St # 1 Hoboken NJ,https://www.zillow.com/homedetails/418-Washington-St-1-Hoboken-NJ-07030/2086486653_zpid/,Apartment for rent,40742035,-74029836
2086486914,Clinton St,Hoboken,NJ,07030,$2600/mo,2 bds  1 ba  1000 sqft,Clinton St Hoboken NJ,https://www.zillow.com/homedetails/Clinton-St-Hoboken-NJ-07030/2086486914_zpid/,Apartment for rent,40749360,-74032060
2133910477,400 Jefferson St,Hoboken,NJ,07030,$2900/mo,2 bds  2 ba  1000 sqft,400 Jefferson St Hoboken NJ,https://www.zillow.com/homedetails/400-Jefferson-St-Hoboken-NJ-07030/2133910477_zpid/,Apartment for rent,40742725,-74037372
2103564886,1031 Clinton St,Hoboken,NJ,07030,$2800/mo,2 bds  2 ba  1200 sqft,1031 Clinton St Hoboken NJ,https://www.zillow.com/homedetails/1031-Clinton-St-Hoboken-NJ-07030/2103564886_zpid/,Apartment for rent,40749715,-74031729
2099534855,Madison St,Hoboken,NJ,07030,$2900/mo,2 bds  2 ba  1200 sqft,Madison St Hoboken NJ,https://www.zillow.com/homedetails/Madison-St-Hoboken-NJ-07030/2099534855_zpid/,Apartment for rent,40738740,-74038246
2111962964,1024 Hudson St,Hoboken,NJ,07030,$3200/mo,3 bds  1 ba  1600 sqft,1024 Hudson St Hoboken NJ,https://www.zillow.com/homedetails/1024-Hudson-St-Hoboken-NJ-07030/2111962964_zpid/,Apartment for rent,40749265,-74026496
1001478540,None,None,None,None,None,1 $1920+ 2 $2400+ 3 $2950+,1203 Willow Ave Hoboken NJ,https://www.zillow.com/b/willow-view-hoboken-nj-5XjQwY/,Willow View,40751688,-74030171
2092376941,Willow Ave,Hoboken,NJ,07030,$2800/mo,3 bds  1 ba  900 sqft,Willow Ave Hoboken NJ,https://www.zillow.com/homedetails/Willow-Ave-Hoboken-NJ-07030/2092376941_zpid/,Apartment for rent,40750500,-74030690
2088554650,Willow Ave,Hoboken,NJ,07030,$3300/mo,3 bds  1 ba  1150 sqft,Willow Ave Hoboken NJ,https://www.zillow.com/homedetails/Willow-Ave-Hoboken-NJ-07030/2088554650_zpid/,Apartment for rent,40749190,-74031090
2093673181,Bloomfield St,Hoboken,NJ,07030,$3000/mo,3 bds  1 ba  1100 sqft,Bloomfield St Hoboken NJ,https://www.zillow.com/homedetails/Bloomfield-St-Hoboken-NJ-07030/2093673181_zpid/,Apartment for rent,40751241,-74027559
2111821219,234 Garden St # 2,Hoboken,NJ,07030,$2597/mo,2 bds  1 ba  950 sqft,234 Garden St # 2 Hoboken NJ,https://www.zillow.com/homedetails/234-Garden-St-2-Hoboken-NJ-07030/2111821219_zpid/,Apartment for rent,40740071,-74032282
2117086145,61 12th St # 1,Hoboken,NJ,07030,$1900/mo,1 bd  1 ba  800 sqft,61 12th St # 1 Hoboken NJ,https://www.zillow.com/homedetails/61-12th-St-1-Hoboken-NJ-07030/2117086145_zpid/,Apartment for rent,40750827,-74026274
2088407561,1321 Washington St # GARDEN,Hoboken,NJ,07030,$3950/mo,2 bds  2 ba  1150 sqft,1321 Washington St # GARDEN Hoboken NJ,https://www.zillow.com/homedetails/1321-Washington-St-GARDEN-Hoboken-NJ-07030/2088407561_zpid/,Apartment for rent,40753042,-74025798
2089968306,13th St,Hoboken,NJ,07030,$3515/mo,2 bds  2 ba  875 sqft,13th St Hoboken NJ,https://www.zillow.com/homedetails/13th-St-Hoboken-NJ-07030/2089968306_zpid/,Apartment for rent,40750900,-74025660
2106002545,310 Monroe St APT 6,Hoboken,NJ,07030,$1800/mo,1 bd  1 ba  600 sqft,310 Monroe St APT 6 Hoboken NJ,https://www.zillow.com/homedetails/310-Monroe-St-APT-6-Hoboken-NJ-07030/2106002545_zpid/,Apartment for rent,40742100,-74039472
2088692297,Jackson St,Hoboken,NJ,07030,$4995/mo,4 bds  3 ba  1800 sqft,Jackson St Hoboken NJ,https://www.zillow.com/homedetails/Jackson-St-Hoboken-NJ-07030/2088692297_zpid/,Apartment for rent,40737290,-74040900
2088312158,Jackson St,Hoboken,NJ,07030,$3500/mo,2 bds  2 ba  1150 sqft,Jackson St Hoboken NJ,https://www.zillow.com/homedetails/Jackson-St-Hoboken-NJ-07030/2088312158_zpid/,Apartment for rent,40736420,-74041860
2086585634,Jackson St,Hoboken,NJ,07030,$3500/mo,2 bds  2 ba  1100 sqft,Jackson St Hoboken NJ,https://www.zillow.com/homedetails/Jackson-St-Hoboken-NJ-07030/2086585634_zpid/,Apartment for rent,40736420,-74041860
38882697,107 Harrison St APT 5,HOBOKEN,NJ,07030,$1850/mo,1 bd  1 ba  500 sqft,107 Harrison St APT 5 Hoboken NJ,https://www.zillow.com/homedetails/107-Harrison-St-APT-5-Hoboken-NJ-07030/38882697_zpid/,Apartment for rent,40739656,-74041649
40.743845--74.030368,None,None,None,None,None,1 $1600+,162 6th St Hoboken NJ,https://www.zillow.com/b/162-6th-St-Hoboken-NJ/40.743845-74.030368_ll/,For Rent,40743845,-74030368
2086694911,Jackson St,Hoboken,NJ,07030,$4600/mo,3 bds  2 ba  1800 sqft,Jackson St Hoboken NJ,https://www.zillow.com/homedetails/Jackson-St-Hoboken-NJ-07030/2086694911_zpid/,Apartment for rent,40736420,-74041860
2086695248,Jackson St,Hoboken,NJ,07030,$5000/mo,4 bds  2 ba  1850 sqft,Jackson St Hoboken NJ,https://www.zillow.com/homedetails/Jackson-St-Hoboken-NJ-07030/2086695248_zpid/,Apartment for rent,40736420,-74041860
2086697943,1101 Grand St # 401,Hoboken,NJ,07030,$6150/mo,3 bds  2 ba  1675 sqft,1101 Grand St # 401 Hoboken NJ,https://www.zillow.com/homedetails/1101-Grand-St-401-Hoboken-NJ-07030/2086697943_zpid/,Apartment for rent,40750836,-74032289
92208428,1125 Maxwell Ln # 426,Hoboken,NJ,07030,$3600/mo,1 bd  2 ba  1037 sqft,1125 Maxwell Ln # 426 Hoboken NJ,https://www.zillow.com/homedetails/1125-Maxwell-Ln-426-Hoboken-NJ-07030/92208428_zpid/,Condo for rent,40749909,-74024915
40.752736--74.026895,None,None,None,None,None,1 $1950+ 2 $2500+ 3 $3100+ 4 $3600+,1305 Bloomfield St Hoboken NJ,https://www.zillow.com/b/Bloomfield-Manor-Hoboken-NJ/40.752736-74.026895_ll/,Bloomfield Manor,40752736,-74026895
119607163,1450 Washington St APT 509,HOBOKEN,NJ,07030,$3100/mo,1 bd  1 ba  735 sqft,1450 Washington St APT 509 Hoboken NJ,https://www.zillow.com/homedetails/1450-Washington-St-APT-509-Hoboken-NJ-07030/119607163_zpid/,Apartment for rent,40753794,-74026041
38886332,925 Bloomfield St,Hoboken,NJ,07030,$7250/mo,3 bds  3.5 ba  1990 sqft,925 Bloomfield St Hoboken NJ,https://www.zillow.com/homedetails/925-Bloomfield-St-Hoboken-NJ-07030/38886332_zpid/,House for rent,40747991,-74028306
2086810152,536 Washington St APT 6A,Hoboken,NJ,07030,$2400/mo,1 bd  1 ba  -- sqft,536 Washington St APT 6A Hoboken NJ,https://www.zillow.com/homedetails/536-Washington-St-APT-6A-Hoboken-NJ-07030/2086810152_zpid/,Apartment for rent,40743384,-74029468
2086830008,Jackson St,Hoboken,NJ,07030,$3400/mo,2 bds  2 ba  -- sqft,Jackson St Hoboken NJ,https://www.zillow.com/homedetails/Jackson-St-Hoboken-NJ-07030/2086830008_zpid/,Apartment for rent,40736420,-74041860
2086828839,Jackson St,Hoboken,NJ,07030,$4300/mo,3 bds  2 ba  -- sqft,Jackson St Hoboken NJ,https://www.zillow.com/homedetails/Jackson-St-Hoboken-NJ-07030/2086828839_zpid/,Apartment for rent,40736420,-74041860
38882965,101 Willow Ave APT 2F,HOBOKEN,NJ,07030,$2200/mo,1 bd  1 ba  500 sqft,101 Willow Ave APT 2F Hoboken NJ,https://www.zillow.com/homedetails/101-Willow-Ave-APT-2F-Hoboken-NJ-07030/38882965_zpid/,Apartment for rent,40738290,-74034271
2086898344,63 5th St # 3,Hoboken,NJ,07030,$3000/mo,3 bds  1 ba  -- sqft,63 5th St # 3 Hoboken NJ,https://www.zillow.com/homedetails/63-5th-St-3-Hoboken-NJ-07030/2086898344_zpid/,Apartment for rent,40742000,-74029133
2086906145,Willow Ave,Hoboken,NJ,07030,$3600/mo,1 bd  1 ba  824 sqft,Willow Ave Hoboken NJ,https://www.zillow.com/homedetails/Willow-Ave-Hoboken-NJ-07030/2086906145_zpid/,Apartment for rent,40751720,-74030320
2086907945,Clinton St,Hoboken,NJ,07030,$3505/mo,2 bds  2 ba  875 sqft,Clinton St Hoboken NJ,https://www.zillow.com/homedetails/Clinton-St-Hoboken-NJ-07030/2086907945_zpid/,Apartment for rent,40751880,-74031270
2086907969,Clinton St,Hoboken,NJ,07030,$3505/mo,2 bds  2 ba  875 sqft,Clinton St Hoboken NJ,https://www.zillow.com/homedetails/Clinton-St-Hoboken-NJ-07030/2086907969_zpid/,Apartment for rent,40751880,-74031270
2086908152,Willow Ave,Hoboken,NJ,07030,$3600/mo,1 bd  1 ba  824 sqft,Willow Ave Hoboken NJ,https://www.zillow.com/homedetails/Willow-Ave-Hoboken-NJ-07030/2086908152_zpid/,Apartment for rent,40751720,-74030320
2100921633,632 Adams St,Hoboken,NJ,07030,$2600/mo,2 bds  2 ba  -- sqft,632 Adams St Hoboken NJ,https://www.zillow.com/homedetails/632-Adams-St-Hoboken-NJ-07030/2100921633_zpid/,Apartment for rent,40745833,-74035403
