2019-03-06T16:05:13.458-0500 I NETWORK  [conn38] received client metadata from 127.0.0.1:57206 conn38: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T16:05:13.461-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57207 #39 (3 connections now open)
2019-03-06T16:05:13.462-0500 I NETWORK  [conn39] received client metadata from 127.0.0.1:57207 conn39: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T16:05:13.467-0500 I NETWORK  [conn39] end connection 127.0.0.1:57207 (2 connections now open)
2019-03-06T16:05:13.467-0500 I NETWORK  [conn38] end connection 127.0.0.1:57206 (1 connection now open)
2019-03-06T16:05:13.773-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57208 #40 (2 connections now open)
2019-03-06T16:05:13.774-0500 I NETWORK  [conn40] received client metadata from 127.0.0.1:57208 conn40: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T16:05:13.779-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57209 #41 (3 connections now open)
2019-03-06T16:05:13.780-0500 I NETWORK  [conn41] received client metadata from 127.0.0.1:57209 conn41: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T16:05:13.794-0500 I NETWORK  [conn41] end connection 127.0.0.1:57209 (2 connections now open)
2019-03-06T16:05:13.794-0500 I NETWORK  [conn40] end connection 127.0.0.1:57208 (1 connection now open)
2019-03-06T16:08:11.849-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57219 #42 (2 connections now open)
2019-03-06T16:08:11.850-0500 I NETWORK  [conn42] received client metadata from 127.0.0.1:57219 conn42: { driver: { name: "PyMongo", version: "3.7.2" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.14.3" }, platform: "CPython 3.6.2.final.0" }
2019-03-06T16:08:12.369-0500 I NETWORK  [conn42] end connection 127.0.0.1:57219 (1 connection now open)
2019-03-06T16:09:35.932-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57224 #43 (2 connections now open)
2019-03-06T16:09:35.934-0500 I NETWORK  [conn43] received client metadata from 127.0.0.1:57224 conn43: { driver: { name: "PyMongo", version: "3.7.2" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.14.3" }, platform: "CPython 3.6.2.final.0" }
2019-03-06T16:09:36.454-0500 I NETWORK  [conn43] end connection 127.0.0.1:57224 (1 connection now open)
2019-03-06T16:10:32.495-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57225 #44 (2 connections now open)
